"year","total_count"
1947,65010
1948,70724
1949,62784
1950,85742
1951,103785
1952,108145
1953,108897
1954,105910
1955,108532
1956,107015
1957,111529
1958,109469
1959,109982
1960,112169
1961,120125
1962,125695
1963,141435
1964,162042
1965,176678
1966,180110
1967,191955
1968,208050
1969,215256
1970,219356
1971,223605
1972,227803
1973,231079
1974,235052
1975,249157
1976,254907
1977,261998
1978,272345
1979,281854
1980,280435
1981,283345
1982,295334
1983,309194
1984,317944
1985,334940
1986,349317
1987,367600
1988,386623
1989,402327
1990,410500
1991,412805
1992,417538
1993,427015
1994,437944
1995,448684
1996,458171
1997,455682
1998,473763
1999,492933
2000,529502
2001,542241
2002,556853
2003,580543
2004,614924
2005,647433
2006,673623
2007,693557
2008,724886
2009,751015
2010,775481
2011,827665
2012,892534
2013,936598
2014,972323
2015,1006363
2016,1006108
2017,995083
